PID,handle
islanodra:10098,
islandora:13473,
islandora:11215,
islandora:14003,
islandora:bookCollection,
islandora:10918,
islandora:11213,
islandora:armour,
islandora:10206,
islandora:11217,
islandora:uasclevant,
islandora:14163,
islandora:14005,
islandora:281,
islandora:root,
islandora:14586,
islandora:ir,
islandora:12790,
islandora:14001,
islandora:uascpeople,
islandora:14002,
islandora:286,
islandora:287,
islandora:285,
islandora:11212,
islandora:283,
islandora:284,
islandora:10193,
islandora:10222,
islandora:11214,
islandora:lewis,
islandora:11218,
islandora:10089,
islandora:14006,
islandora:282,
islandora:uascgordon,
islandora:11216,
islandora:12793,
islandora:14004,
islandora:uasc,
islandora:14807,
islandora:15235,
islandora:14919,
islandora:uascstudentlife,
islandora:id,
islandora:288,
islandora:iit,
islandora:uascoralhistories,
islandora:arch,
islandora:uascstaff,
islandora:16177,
islandora:16176,
islandora:16183,
islandora:16184,
islandora:16179,
islandora:16180,
islandora:16181,
islandora:16178,
islandora:16182,
islandora:16190,
islandora:16191,
islandora:16192,
islandora:16193,
islandora:16185,
islandora:16186,
islandora:16187,
islandora:16188,
islandora:16189,
islandora:16195,
islandora:16201,
islandora:16197,
islandora:16200,
islandora:16196,
islandora:16198,
islandora:16199,
islandora:16194,
islandora:16208,
islandora:16206,
islandora:16207,
islandora:16209,
islandora:16205,
islandora:16204,
islandora:16203,
islandora:16202,
islandora:16210,
islandora:16217,
islandora:16212,
islandora:16211,
islandora:16215,
islandora:16214,
islandora:16213,
islandora:16216,
islandora:16218,
islandora:16223,
islandora:16226,
islandora:16219,
islandora:16222,
islandora:16224,
islandora:16225,
islandora:16221,
islandora:16220,
islandora:16230,
islandora:16229,
islandora:16235,
islandora:16228,
islandora:16234,
islandora:16233,
islandora:16231,
islandora:16227,
islandora:16232,
islandora:16241,
islandora:16236,
islandora:16238,
islandora:16244,
islandora:16239,
islandora:16243,
islandora:16237,
islandora:16240,
islandora:16242,
islandora:16250,
islandora:16246,
islandora:16253,
islandora:16251,
islandora:16252,
islandora:16247,
islandora:16248,
islandora:16245,
islandora:16249,
islandora:16259,
islandora:16262,
islandora:16255,
islandora:16254,
islandora:16261,
islandora:16258,
islandora:16256,
islandora:16257,
islandora:16260,
islandora:16270,
islandora:16266,
islandora:16269,
islandora:16264,
islandora:16268,
islandora:16265,
islandora:16263,
islandora:16267,
islandora:16271,
islandora:16175,
islandora:16272,
islandora:16273,
islandora:16445,
islandora:etds,
